Hier wird die Struktur der Stahl-Control Datenbank (!SC-Entwicklung) abgebildet. Der Name der Datenbank ist Conzept C16.
Es werden Tabellen, Schlüssel, Verküpfungen und Dialoge abgebildet. Datenbank Abfragen werden immer erreicht,in dem die Dateinummer (Eindeutiger Bezeichner der Tabelle), und eine Verknüpfung über die Schlüssel angegeben wird. Ein Beispielcode um einen Datensatz aus der Tabelle 200 Mat.Materialdatei zu lesen wäre: RecRead(200, 1, 0);

Datenbank        : !@SC-Entwicklung                         10.11.2023   14:29


Nr.  Dateiname            Teile  Infos  Schl.  Verkn. DBA    Hauptdatei   Sätze
  Titel    : Rso.Kal.Tag.Bis7Zeit:
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 18   22 / 18

 18    18 / Rso.Kal.Tag.Von8Zeit            Zeit            5      ............
  Titel    : Rso.Kal.Tag.Von8Zeit:
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 19   22 / 19


 19    19 / Rso.Kal.Tag.Bis8Zeit            Zeit            5      ............
  Titel    : Rso.Kal.Tag.Bis8Zeit:
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 20   22 / 20

 20    20 / Rso.Kal.Tag.Von9Zeit            Zeit            5      ............
  Titel    : Rso.Kal.Tag.Von9Zeit:
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 21   22 / 21

 21    21 / Rso.Kal.Tag.Bis9Zeit            Zeit            5      ............
  Titel    : Rso.Kal.Tag.Bis9Zeit:
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 22   22 / 22



Teildatensatz Maske  :     1 / Rso.Kal.Tag.Hauptdat


 2:Rso.Kal.Tag.Typ     :
 3:Rso.Kal.Tag.Name    :
 4:Rso.Kal.Tag.String  :
 5:Rso.Kal.Tag.Von1Zeit:
 6:Rso.Kal.Tag.Bis1Zeit:
 7:Rso.Kal.Tag.Von2Zeit:
 8:Rso.Kal.Tag.Bis2Zeit:
 9:Rso.Kal.Tag.Von3Zeit:
10:Rso.Kal.Tag.Bis3Zeit:
11:Rso.Kal.Tag.Von4Zeit:
12:Rso.Kal.Tag.Bis4Zeit:
13:Rso.Kal.Tag.Von5Zeit:
14:Rso.Kal.Tag.Bis5Zeit:
15:Rso.Kal.Tag.Von6Zeit:
16:Rso.Kal.Tag.Bis6Zeit:
17:Rso.Kal.Tag.Von7Zeit:
18:Rso.Kal.Tag.Bis7Zeit:
19:Rso.Kal.Tag.Von8Zeit:
20:Rso.Kal.Tag.Bis8Zeit:
21:Rso.Kal.Tag.Von9Zeit:
22:Rso.Kal.Tag.Bis9Zeit:






Datei                :   165 / Rso.Instandhaltung
Teildatensatz        :     1 / Rso.IHA.Hauptdaten
  Anzahl Felder      :    14

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Rso.IHA.Gruppe          Ganzz. (kurz)           2        0 /   0
   2   Rso.IHA.Ressource       Ganzz. (kurz)           2        0 /   0
   3   Rso.IHA.WartungYN       Logisch                 1        0 /   0
   4   Rso.IHA.Nummer          Ganzz. (kurz)           2        0 /   0
   5   Rso.IHA.Meldung         Ganzz. (kurz)           2        0 /   0
   6   Rso.IHA.Bemerkung       Alpha    64stellig     65        0 /   0
   7   Rso.IHA.TerminKW        Ganzz. (kurz)           2        0 /   0
   8   Rso.IHA.TerminJahr      Ganzz. (kurz)           2        0 /   0
   9   Rso.IHA.Termin          Datum                   4        0 /   0
  10   Rso.IHA.Wartung         Ganzz. (kurz)           2        0 /   0
  11   Rso.IHA.externesDok     Alpha   128stellig    129        0 /   0
  12   Rso.IHA.DatumEnde       Datum                   4        0 /   0
  13   Rso.IHA.Zeit.Ausfall    Gleitkomma              8        0 /   0
  14   Rso.IHA.Zeit.Repara     Gleitkomma              8        0 /   0

                               Gesamt                233 Bytes


Datei                :   165 / Rso.Instandhaltung
Teildatensatz        :     2 / Rso.IHA.Protokoll
  Anzahl Felder      :     3

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Rso.IHA.Anlage.Datum    Datum                   4        0 /   0
   2   Rso.IHA.Anlage.Zeit     Zeit                    4        0 /   0
   3   Rso.IHA.Anlage.User     Alpha    20stellig     21        0 /   0

                               Gesamt                 29 Bytes



Datei                :   165 / Rso.Instandhaltung
Schlüssel            :     1 / Rso/IHA.Nummer
  DBA Nummer         :   188
  Anzahl Felder      :     4  (eindeutig)
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.IHA.Hauptdaten     1 / Rso.IHA.Gruppe       Ganzz. (kurz)
 2    1 / Rso.IHA.Hauptdaten     2 / Rso.IHA.Ressource    Ganzz. (kurz)
 3    1 / Rso.IHA.Hauptdaten     3 / Rso.IHA.WartungYN    Logisch
 4    1 / Rso.IHA.Hauptdaten     4 / Rso.IHA.Nummer       Ganzz. (kurz)



Datei                :   165 / Rso.Instandhaltung
Schlüssel            :     2 / Rso/IHA.GrpResTermin
  DBA Nummer         :   429
  Anzahl Felder      :     4
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.IHA.Hauptdaten     1 / Rso.IHA.Gruppe       Ganzz. (kurz)
 2    1 / Rso.IHA.Hauptdaten     2 / Rso.IHA.Ressource    Ganzz. (kurz)
 3    1 / Rso.IHA.Hauptdaten     3 / Rso.IHA.WartungYN    Logisch
 4    1 / Rso.IHA.Hauptdaten     9 / Rso.IHA.Termin       Datum



Datei                :   165 / Rso.Instandhaltung
Verknüpfung          :     1 / Rso.IHA->Ursachen
  mit Datei          :   166 / Rso.IHA.Ursachen
  über Schlüssel     :     1 / Rso/Urs.Nummer

    Pos  Feld                               Typ

     1     1 /   1 / Rso.Urs.Gruppe         Ganzz. (kurz)
     2     1 /   2 / Rso.Urs.Ressource      Ganzz. (kurz)
     3     1 /   3 / Rso.Urs.WartungYN      Logisch
     4     1 /   4 / Rso.Urs.IHA            Ganzz. (kurz)
     5     1 /   5 / Rso.Urs.Nummer         Ganzz. (kurz)

  Anzahl Felder      :     4
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.IHA.Hauptdaten     1 / Rso.IHA.Gruppe       Ganzz. (kurz)
 2    1 / Rso.IHA.Hauptdaten     2 / Rso.IHA.Ressource    Ganzz. (kurz)
 3    1 / Rso.IHA.Hauptdaten     3 / Rso.IHA.WartungYN    Logisch
 4    1 / Rso.IHA.Hauptdaten     4 / Rso.IHA.Nummer       Ganzz. (kurz)



Datei                :   165 / Rso.Instandhaltung
Verknüpfung          :     2 / Rso.IHA->Meldung
  mit Datei          :   823 / IHA.Meldungen
  über Schlüssel     :     1 / IHA/Mld.Nummer

    Pos  Feld                               Typ

     1     1 /   1 / IHA.Mld.Nummer         Ganzz. (kurz)

  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.IHA.Hauptdaten     5 / Rso.IHA.Meldung      Ganzz. (kurz)



Datei                :   165 / Rso.Instandhaltung
Teildatensatz        :     1 / Rso.IHA.Hauptdaten
  Felder             :    11
  Texte              :     0
  Eingabeseite       :     1
  Fensterebene       :     0

Pos Feld                                    Feldtyp        VK/NK   Attribute

  1     1 / Rso.IHA.Gruppe                  Ganzz. (kurz)   4      ............
  Titel    : Rso.IHA.Gruppe      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  2   22 /  2

  2     2 / Rso.IHA.Ressource               Ganzz. (kurz)   4      ............
  Titel    : Rso.IHA.Resource    :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  3   22 /  3

  3     3 / Rso.IHA.WartungYN               Logisch         1      ............
  Titel    : Rso.IHA.WartungYN   :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  4   22 /  4

  4     4 / Rso.IHA.Nummer                  Ganzz. (kurz)   4      ............
  Titel    : Rso.IHA.Nummer      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  5   22 /  5

  5     5 / Rso.IHA.Meldung                 Ganzz. (kurz)   4      ............
  Titel    : Rso.IHA.Meldung     :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  6   22 /  6

  6     6 / Rso.IHA.Bemerkung               Alpha   64st.  57      ............
  Titel    : Rso.IHA.Bemerkung   :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  7   22 /  7

  7     7 / Rso.IHA.TerminKW                Ganzz. (kurz)   4      ............
  Titel    : Rso.IHA.TerminKW    :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  8   22 /  8

  8     8 / Rso.IHA.TerminJahr              Ganzz. (kurz)   4      ............
  Titel    : Rso.IHA.TerminJahr  :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  9   22 /  9

  9     9 / Rso.IHA.Termin                  Datum           8      ............
  Titel    : Rso.IHA.Termin      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 10   22 / 10

 10    10 / Rso.IHA.Wartung                 Ganzz. (kurz)   4      ............
  Titel    : Rso.IHA.Wartung     :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 11   22 / 11

 11    11 / Rso.IHA.externesDok             Alpha  128st.  57      ............

  Titel    : Rso.IHA.externesDok :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 12   22 / 12



Teildatensatz Maske  :     1 / Rso.IHA.Hauptdaten


 2:Rso.IHA.Gruppe      :
 3:Rso.IHA.Resource    :
 4:Rso.IHA.WartungYN   :
 5:Rso.IHA.Nummer      :
 6:Rso.IHA.Meldung     :
 7:Rso.IHA.Bemerkung   :
 8:Rso.IHA.TerminKW    :
 9:Rso.IHA.TerminJahr  :
10:Rso.IHA.Termin      :
11:Rso.IHA.Wartung     :
12:Rso.IHA.externesDok :



Datei                :   165 / Rso.Instandhaltung
Teildatensatz        :     2 / Rso.IHA.Protokoll
  Felder             :     0
  Texte              :     0
  Eingabeseite       :     2
  Fensterebene       :     0






Datei                :   166 / Rso.IHA.Ursachen
Teildatensatz        :     1 / Rso.Urs.Hauptdaten
  Anzahl Felder      :     7

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Rso.Urs.Gruppe          Ganzz. (kurz)           2        0 /   0
   2   Rso.Urs.Ressource       Ganzz. (kurz)           2        0 /   0
   3   Rso.Urs.WartungYN       Logisch                 1        0 /   0
   4   Rso.Urs.IHA             Ganzz. (kurz)           2        0 /   0
   5   Rso.Urs.Nummer          Ganzz. (kurz)           2        0 /   0
   6   Rso.Urs.Ursache         Ganzz. (kurz)           2        0 /   0
   7   Rso.Urs.Bemerkung       Alpha    64stellig     65        0 /   0

                               Gesamt                 76 Bytes



Datei                :   166 / Rso.IHA.Ursachen
Schlüssel            :     1 / Rso/Urs.Nummer
  DBA Nummer         :   184
  Anzahl Felder      :     5  (eindeutig)
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.Urs.Hauptdaten     1 / Rso.Urs.Gruppe       Ganzz. (kurz)
 2    1 / Rso.Urs.Hauptdaten     2 / Rso.Urs.Ressource    Ganzz. (kurz)
 3    1 / Rso.Urs.Hauptdaten     3 / Rso.Urs.WartungYN    Logisch
 4    1 / Rso.Urs.Hauptdaten     4 / Rso.Urs.IHA          Ganzz. (kurz)
 5    1 / Rso.Urs.Hauptdaten     5 / Rso.Urs.Nummer       Ganzz. (kurz)




Datei                :   166 / Rso.IHA.Ursachen
Verknüpfung          :     1 / Rso.Urs->Maánahmen
  mit Datei          :   167 / Rso.IHA.Maánahen
  über Schlüssel     :     1 / Rso/Maá.Nummer

    Pos  Feld                               Typ

     1     1 /   1 / Rso.Maá.Gruppe         Ganzz. (kurz)
     2     1 /   2 / Rso.Maá.Ressource      Ganzz. (kurz)
     3     1 /   3 / Rso.Maá.WartungYN      Logisch
     4     1 /   4 / Rso.Maá.IHA            Ganzz. (kurz)
     5     1 /   5 / Rso.Maá.Ursache        Ganzz. (kurz)
     6     1 /   6 / Rso.Maá.Nummer         Ganzz. (kurz)

  Anzahl Felder      :     5
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.Urs.Hauptdaten     1 / Rso.Urs.Gruppe       Ganzz. (kurz)
 2    1 / Rso.Urs.Hauptdaten     2 / Rso.Urs.Ressource    Ganzz. (kurz)
 3    1 / Rso.Urs.Hauptdaten     3 / Rso.Urs.WartungYN    Logisch
 4    1 / Rso.Urs.Hauptdaten     4 / Rso.Urs.IHA          Ganzz. (kurz)
 5    1 / Rso.Urs.Hauptdaten     5 / Rso.Urs.Nummer       Ganzz. (kurz)



Datei                :   166 / Rso.IHA.Ursachen
Verknüpfung          :     2 / Rso.Urs->Ursachen
  mit Datei          :   824 / IHA.Ursachen
  über Schlüssel     :     1 / IHA/Urs.Nummer

    Pos  Feld                               Typ

     1     1 /   1 / IHA.Urs.Nummer         Ganzz. (kurz)

  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.Urs.Hauptdaten     6 / Rso.Urs.Ursache      Ganzz. (kurz)



Datei                :   166 / Rso.IHA.Ursachen
Teildatensatz        :     1 / Rso.Urs.Hauptdaten
  Felder             :     7
  Texte              :     0
  Eingabeseite       :     1
  Fensterebene       :     0

Pos Feld                                    Feldtyp        VK/NK   Attribute

  1     1 / Rso.Urs.Gruppe                  Ganzz. (kurz)   4      ............
  Titel    : Rso.Urs.Gruppe      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  2   22 /  2

  2     2 / Rso.Urs.Ressource               Ganzz. (kurz)   4      ............
  Titel    : Rso.Urs.Resource    :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  3   22 /  3

  3     3 / Rso.Urs.WartungYN               Logisch         1      ............
  Titel    : Rso.Urs.WartungYN   :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  4   22 /  4

  4     4 / Rso.Urs.IHA                     Ganzz. (kurz)   4      ............
  Titel    : Rso.Urs.IHA         :

  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  5   22 /  5

  5     5 / Rso.Urs.Nummer                  Ganzz. (kurz)   4      ............
  Titel    : Rso.Urs.Nummer      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  6   22 /  6

  6     6 / Rso.Urs.Ursache                 Ganzz. (kurz)   4      ............
  Titel    : Rso.Urs.Ursache     :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  7   22 /  7

  7     7 / Rso.Urs.Bemerkung               Alpha   64st.  57      ............
  Titel    : Rso.Urs.Bemerkung   :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  8   22 /  8



Teildatensatz Maske  :     1 / Rso.Urs.Hauptdaten


 2:Rso.Urs.Gruppe      :
 3:Rso.Urs.Resource    :
 4:Rso.Urs.WartungYN   :
 5:Rso.Urs.IHA         :
 6:Rso.Urs.Nummer      :
 7:Rso.Urs.Ursache     :
 8:Rso.Urs.Bemerkung   :






Datei                :   167 / Rso.IHA.Maánahen
Teildatensatz        :     1 / Rso.Maá.Hauptdaten
  Anzahl Felder      :     8

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Rso.Maá.Gruppe          Ganzz. (kurz)           2        0 /   0
   2   Rso.Maá.Ressource       Ganzz. (kurz)           2        0 /   0
   3   Rso.Maá.WartungYN       Logisch                 1        0 /   0
   4   Rso.Maá.IHA             Ganzz. (kurz)           2        0 /   0
   5   Rso.Maá.Ursache         Ganzz. (kurz)           2        0 /   0
   6   Rso.Maá.Nummer          Ganzz. (kurz)           2        0 /   0
   7   Rso.Maá.Maánahme        Ganzz. (kurz)           2        0 /   0
   8   Rso.Maá.Bemerkung       Alpha    64stellig     65        0 /   0

                               Gesamt                 78 Bytes



Datei                :   167 / Rso.IHA.Maánahen
Schlüssel            :     1 / Rso/Maá.Nummer
  DBA Nummer         :   190
  Anzahl Felder      :     6  (eindeutig)
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.Maá.Hauptdaten     1 / Rso.Maá.Gruppe       Ganzz. (kurz)
 2    1 / Rso.Maá.Hauptdaten     2 / Rso.Maá.Ressource    Ganzz. (kurz)
 3    1 / Rso.Maá.Hauptdaten     3 / Rso.Maá.WartungYN    Logisch
 4    1 / Rso.Maá.Hauptdaten     4 / Rso.Maá.IHA          Ganzz. (kurz)
 5    1 / Rso.Maá.Hauptdaten     5 / Rso.Maá.Ursache      Ganzz. (kurz)
 6    1 / Rso.Maá.Hauptdaten     6 / Rso.Maá.Nummer       Ganzz. (kurz)




Datei                :   167 / Rso.IHA.Maánahen
Verknüpfung          :     1 / Rso.Maá->Ersatzteil
  mit Datei          :   168 / Rso.IHA.Ersatzteile
  über Schlüssel     :     1 / Rso/Ert.Nummer

    Pos  Feld                               Typ

     1     1 /   1 / Rso.ErT.Gruppe         Ganzz. (kurz)
     2     1 /   2 / Rso.ErT.Ressource      Ganzz. (kurz)
     3     1 /   3 / Rso.ErT.WartungYN      Logisch
     4     1 /   4 / Rso.ErT.IHA            Ganzz. (kurz)
     5     1 /   5 / Rso.ErT.Ursache        Ganzz. (kurz)
     6     1 /   6 / Rso.ErT.Maánahme       Ganzz. (kurz)
     7     1 /   7 / Rso.ErT.Nummer         Ganzz. (kurz)

  Anzahl Felder      :     6
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.Maá.Hauptdaten     1 / Rso.Maá.Gruppe       Ganzz. (kurz)
 2    1 / Rso.Maá.Hauptdaten     2 / Rso.Maá.Ressource    Ganzz. (kurz)
 3    1 / Rso.Maá.Hauptdaten     3 / Rso.Maá.WartungYN    Logisch
 4    1 / Rso.Maá.Hauptdaten     4 / Rso.Maá.IHA          Ganzz. (kurz)
 5    1 / Rso.Maá.Hauptdaten     5 / Rso.Maá.Ursache      Ganzz. (kurz)
 6    1 / Rso.Maá.Hauptdaten     6 / Rso.Maá.Nummer       Ganzz. (kurz)



Datei                :   167 / Rso.IHA.Maánahen
Verknüpfung          :     2 / Rso.Maá->Rso.Res
  mit Datei          :   169 / Rso.IHA.Ressourcen
  über Schlüssel     :     1 / Rso/Rso.Nummer

    Pos  Feld                               Typ

     1     1 /   1 / Rso.Rso.Gruppe         Ganzz. (kurz)
     2     1 /   2 / Rso.Rso.Ressource      Ganzz. (kurz)
     3     1 /   3 / Rso.Rso.WartungYN      Logisch
     4     1 /   4 / Rso.Rso.IHA            Ganzz. (kurz)
     5     1 /   5 / Rso.Rso.Ursache        Ganzz. (kurz)
     6     1 /   6 / Rso.Rso.Maánahme       Ganzz. (kurz)
     7     1 /   7 / Rso.Rso.Nummer         Ganzz. (kurz)

  Anzahl Felder      :     6
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.Maá.Hauptdaten     1 / Rso.Maá.Gruppe       Ganzz. (kurz)
 2    1 / Rso.Maá.Hauptdaten     2 / Rso.Maá.Ressource    Ganzz. (kurz)
 3    1 / Rso.Maá.Hauptdaten     3 / Rso.Maá.WartungYN    Logisch
 4    1 / Rso.Maá.Hauptdaten     4 / Rso.Maá.IHA          Ganzz. (kurz)
 5    1 / Rso.Maá.Hauptdaten     5 / Rso.Maá.Ursache      Ganzz. (kurz)
 6    1 / Rso.Maá.Hauptdaten     6 / Rso.Maá.Nummer       Ganzz. (kurz)



Datei                :   167 / Rso.IHA.Maánahen
Verknüpfung          :     3 / Rso.Maá->Maánahme
  mit Datei          :   825 / IHA.Maánahmen
  über Schlüssel     :     1 / IHA/Maá.Nummer

    Pos  Feld                               Typ

     1     1 /   1 / IHA.Maá.Nummer         Ganzz. (kurz)

  Anzahl Felder      :     1

  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.Maá.Hauptdaten     7 / Rso.Maá.Maánahme     Ganzz. (kurz)



Datei                :   167 / Rso.IHA.Maánahen
Teildatensatz        :     1 / Rso.Maá.Hauptdaten
  Felder             :     8
  Texte              :     0
  Eingabeseite       :     1
  Fensterebene       :     0

Pos Feld                                    Feldtyp        VK/NK   Attribute

  1     1 / Rso.Maá.Gruppe                  Ganzz. (kurz)   4      ............
  Titel    : Rso.Maá.Gruppe      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  2   22 /  2

  2     2 / Rso.Maá.Ressource               Ganzz. (kurz)   4      ............
  Titel    : Rso.Maá.Resource    :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  3   22 /  3

  3     3 / Rso.Maá.WartungYN               Logisch         1      ............
  Titel    : Rso.Maá.WartungYN   :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  4   22 /  4

  4     4 / Rso.Maá.IHA                     Ganzz. (kurz)   4      ............
  Titel    : Rso.Maá.IHA         :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  5   22 /  5

  5     5 / Rso.Maá.Ursache                 Ganzz. (kurz)   4      ............
  Titel    : Rso.Maá.Ursache     :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  6   22 /  6

  6     6 / Rso.Maá.Nummer                  Ganzz. (kurz)   4      ............
  Titel    : Rso.Maá.Nummer      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  7   22 /  7

  7     7 / Rso.Maá.Maánahme                Ganzz. (kurz)   4      ............
  Titel    : Rso.Maá.Maánahme    :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  8   22 /  8

  8     8 / Rso.Maá.Bemerkung               Alpha   64st.  57      ............
  Titel    : Rso.Maá.Bemerkung   :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  9   22 /  9



Teildatensatz Maske  :     1 / Rso.Maá.Hauptdaten


 2:Rso.Maá.Gruppe      :
 3:Rso.Maá.Resource    :
 4:Rso.Maá.WartungYN   :
 5:Rso.Maá.IHA         :
 6:Rso.Maá.Ursache     :
 7:Rso.Maá.Nummer      :
 8:Rso.Maá.Maánahme    :
 9:Rso.Maá.Bemerkung   :







Datei                :   168 / Rso.IHA.Ersatzteile
Teildatensatz        :     1 / Rso.ErT.Hauptdaten
  Anzahl Felder      :    14

  Nr.  Name                    Feldtyp             Bytes   Ein/Ausgabeberechtigung

   1   Rso.ErT.Gruppe          Ganzz. (kurz)           2        0 /   0
   2   Rso.ErT.Ressource       Ganzz. (kurz)           2        0 /   0
   3   Rso.ErT.WartungYN       Logisch                 1        0 /   0
   4   Rso.ErT.IHA             Ganzz. (kurz)           2        0 /   0
   5   Rso.ErT.Ursache         Ganzz. (kurz)           2        0 /   0
   6   Rso.ErT.Maánahme        Ganzz. (kurz)           2        0 /   0
   7   Rso.ErT.Nummer          Ganzz. (kurz)           2        0 /   0
   8   Rso.ErT.Artikelnr       Alpha    40stellig     41        0 /   0
   9   Rso.ErT.Menge           Gleitkomma              8        0 /   0
  10   Rso.ErT.MEH             Alpha     8stellig      9        0 /   0
  11   Rso.ErT.Gesamtpreis     Gleitkomma              8        0 /   0
  12   Rso.ErT.Datum           Datum                   4        0 /   0
  13   Rso.ErT.Zeit            Zeit                    4        0 /   0
  14   Rso.ErT.User            Alpha    20stellig     21        0 /   0

                               Gesamt                108 Bytes



Datei                :   168 / Rso.IHA.Ersatzteile
Schlüssel            :     1 / Rso/Ert.Nummer
  DBA Nummer         :   192
  Anzahl Felder      :     7  (eindeutig)
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.ErT.Hauptdaten     1 / Rso.ErT.Gruppe       Ganzz. (kurz)
 2    1 / Rso.ErT.Hauptdaten     2 / Rso.ErT.Ressource    Ganzz. (kurz)
 3    1 / Rso.ErT.Hauptdaten     3 / Rso.ErT.WartungYN    Logisch
 4    1 / Rso.ErT.Hauptdaten     4 / Rso.ErT.IHA          Ganzz. (kurz)
 5    1 / Rso.ErT.Hauptdaten     5 / Rso.ErT.Ursache      Ganzz. (kurz)
 6    1 / Rso.ErT.Hauptdaten     6 / Rso.ErT.Maánahme     Ganzz. (kurz)
 7    1 / Rso.ErT.Hauptdaten     7 / Rso.ErT.Nummer       Ganzz. (kurz)



Datei                :   168 / Rso.IHA.Ersatzteile
Verknüpfung          :     1 / Rso.ErT->HuB
  mit Datei          :   180 / HuB.Artikel
  über Schlüssel     :     1 / HuB/Artikelnr

    Pos  Feld                               Typ

     1     1 /   1 / HuB.Artikelnr          Alpha  40st.   G

  Anzahl Felder      :     1
  Listeneintrag      :     J

Pos  Teildatensatz              Feld                      Typ

 1    1 / Rso.ErT.Hauptdaten     8 / Rso.ErT.Artikelnr    Alpha   40st. G



Datei                :   168 / Rso.IHA.Ersatzteile
Teildatensatz        :     1 / Rso.ErT.Hauptdaten
  Felder             :    14
  Texte              :     0
  Eingabeseite       :     1
  Fensterebene       :     0


Pos Feld                                    Feldtyp        VK/NK   Attribute

  1     1 / Rso.ErT.Gruppe                  Ganzz. (kurz)   4      ............
  Titel    : Rso.ErT.Gruppe      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  2   22 /  2

  2     2 / Rso.ErT.Ressource               Ganzz. (kurz)   4      ............
  Titel    : Rso.ErT.Resource    :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  3   22 /  3

  3     3 / Rso.ErT.WartungYN               Logisch         1      ............
  Titel    : Rso.ErT.WartungYN   :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  4   22 /  4

  4     4 / Rso.ErT.IHA                     Ganzz. (kurz)   4      ............
  Titel    : Rso.ErT.IHA         :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  5   22 /  5

  5     5 / Rso.ErT.Ursache                 Ganzz. (kurz)   4      ............
  Titel    : Rso.ErT.Ursache     :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  6   22 /  6

  6     6 / Rso.ErT.Maánahme                Ganzz. (kurz)   4      ............
  Titel    : Rso.ErT.Maánahme    :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  7   22 /  7

  7     7 / Rso.ErT.Nummer                  Ganzz. (kurz)   4      ............
  Titel    : Rso.ErT.Nummer      :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  8   22 /  8

  8     8 / Rso.ErT.Artikelnr               Alpha   40st.  20      ............
  Titel    : Rso.ErT.Artikelnr   :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 /  9   22 /  9

  9     9 / Rso.ErT.Menge                   Gleitkomma      7/  2  ............
  Titel    : Rso.ErT.Menge       :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 10   22 / 10

 10    10 / Rso.ErT.MEH                     Alpha    8st.   8      ............
  Titel    : Rso.ErT.MEH         :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 11   22 / 11

 11    11 / Rso.ErT.Gesamtpreis             Gleitkomma      7/  2  ............
  Titel    : Rso.ErT.Gesamtpreis :
  Ein/Ausgabeberechtigung    :   0 /   0    Positionen     :  0 / 12   22 / 12

